country,population
af,0
al,0
ag,0
aq,0
an,0
ao,0
av,0
ac,0
ar,17
am,0
aa,0
as,0
au,1
aj,0
bf,0
ba,0
bg,0
bb,1
bo,0
be,1
bh,0
bn,0
bd,0
bt,0
bl,0
bk,0
bc,0
br,65
vi,0
bx,0
bu,0
uv,0
bm,0
by,0
cb,0
cm,0
ca,11
cv,0
cj,0
ct,0
cd,0
ci,0
ch,1
kt,0
co,7
cn,0
cg,0
cf,0
cw,0
cs,0
iv,0
hr,0
cu,0
cy,0
ez,0
da,0
dj,0
do,1
dr,0
ec,2
eg,1
es,12
ek,0
er,0
en,0
et,0
fo,0
fj,0
fi,0
fr,10
fp,0
gb,26
ga,0
gz,0
gg,0
gm,0
gh,2
gi,0
gr,0
gl,0
gj,0
gq,0
gt,0
gk,0
gv,0
pu,0
gy,0
ha,0
vt,0
ho,0
hk,0
hu,0
ic,0
in,11
id,12
ir,1
iz,0
ei,0
im,0
is,0
it,3
jm,2
ja,0
je,0
jo,0
kz,0
ke,1
kr,2
kn,0
ks,0
kv,0
ku,0
kg,0
la,0
lg,0
le,0
lt,0
li,0
ly,1
ls,0
lh,0
lu,0
mc,0
mk,0
ma,0
mi,0
my,11
mv,0
ml,0
mt,0
rm,0
mr,0
mp,0
mx,13
fm,0
md,0
mn,0
mg,0
mj,0
mh,0
mo,0
mz,0
wa,0
nr,0
np,0
nl,1
nc,0
nz,0
nu,0
ng,0
ni,1
ne,0
nf,0
cq,0
no,0
mu,0
pk,2
ps,0
pm,0
pp,0
pa,1
pe,0
rp,0
pl,2
po,0
rq,0
qa,0
ro,0
rs,0
rw,0
tb,0
sh,0
sc,0
st,0
rn,0
sb,0
vc,0
ws,0
sm,0
tp,0
sa,9
sg,0
ri,0
se,1
sl,0
sn,0
lo,0
si,0
bp,0
so,0
sf,0
od,0
sp,0
ce,0
su,0
ns,0
sv,0
wz,0
sw,0
sz,0
sy,0
tw,0
ti,0
tz,0
th,10
tt,0
to,0
tl,0
tn,2
td,0
ts,0
tu,0
tx,0
tk,0
tv,0
ug,0
up,0
ae,0
uk,0
us,143
uy,1
uz,0
nh,0
ve,4
vm,0
vq,0
wf,0
we,0
wi,0
ym,0
za,6
zi,0
